"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"1","Tamil Nadu","Andimuthu Raja","NILGIRIS(SC)","147000000"
"2","Tamil Nadu","ARUN NEHRU","PERAMBALUR","147000000"
"3","Tamil Nadu","CN Annadurai","TIRUVANNAMALAI","148579509.11"
"4","Tamil Nadu","D M Kathir Anand","VELLORE","160196941.11"
"5","Tamil Nadu","D Ravikumar","VILUPPURAM(SC)","197598306.11"
"6","Tamil Nadu","DR RANI SRI KUMAR","TENKASI(SC)","153060922.82"
"7","Tamil Nadu","DURAI VAIKO","TIRUCHIRAPPALLI","147000000"
"8","Tamil Nadu","ESWARASAMY K","POLLACHI","162315106.11"
"9","Tamil Nadu","GANAPATHY RAJKUMAR P","COIMBATORE","147370490.11"
"10","Tamil Nadu","Ganesan Selvam","KANCHEEPURAM(SC)","186508749.11"
"11","Tamil Nadu","GOPINATH K","KRISHNAGIRI","147000000"
"12","Tamil Nadu","K E PRAKASH","ERODE","147000000"
"13","Tamil Nadu","K Subbarayan","TIRUPPUR","147000000"
"14","Tamil Nadu","Kalanidhi Veeraswamy","CHENNAI NORTH","171500000"
"15","Tamil Nadu","Kani K Navas","RAMANATHAPURAM","147000000"
"16","Tamil Nadu","Kanimozhi Karunanidhi","THOOTHUKKUDI","147000000"
"17","Tamil Nadu","M.K. VISHNUPRASAD","CUDDALORE","147000000"
"18","Tamil Nadu","MALAIYARASAN D","KALLAKURICHI","201599593"
"19","Tamil Nadu","MANI. A.","DHARAMAPURI","164515071.11"
"20","Tamil Nadu","Manickam Tagore B","VIRUDHUNAGAR","147000000"
"21","Tamil Nadu","MURASOLI S","THANJAVUR","147000000"
"22","Tamil Nadu","ROBERT BRUCE C","TIRUNELVELI","147475440.11"
"23","Tamil Nadu","S Venkatesan","MADURAI","147000000"
"24","Tamil Nadu","S. Jagathrakshakan","ARAKKONAM","180589332.34"
"25","Tamil Nadu","SACHITHANANTHAM R","DINDIGUL","147000000"
"26","Tamil Nadu","Sasikanth Senthil","TIRUVALLUR(SC)","171500000"
"27","Tamil Nadu","SELVAGANAPATHI T M","SALEM","147000000"
"28","Tamil Nadu","SELVARAJ V","NAGAPATTINAM(SC)","147000000"
"29","Tamil Nadu","Shri Karti P Chidambaram","SIVAGANGA","159049284.11"
"30","Tamil Nadu","Shri vijayakumar Vasanth","KANNIYAKUMARI","171500000"
"31","Tamil Nadu","Smt S Jothimani","KARUR","147000000"
"32","Tamil Nadu","SUDHA R","MAYILADUTHURAI","147332315.11"
"33","Tamil Nadu","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","147000000"
"34","Tamil Nadu","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","196905535.11"
"35","Tamil Nadu","THANGA TAMILSELVAN","THENI","147000000"
"36","Tamil Nadu","THARANIVENTHAN M S","ARANI","168337124.35"
"37","Tamil Nadu","Thiru Dayanidhi Maran","CHENNAI CENTRAL","147000000"
"38","Tamil Nadu","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","147000000"
"39","Tamil Nadu","V S Matheswaran","NAMAKKAL","162539930.11"
"Grand Total"," "," "," ","6,13,84,73,649.83"
