"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP017/2024-2025/143499-Construction of veterinary hospitals and dispensaries","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Compound Wall and Other Work In rural Vetrinery Dispencery at Velanchery Village","S. Jagathrakshakan","ARAKKONAM","Images","09-Oct-2024","996610"
"2","Normal/Others","WS/MP017/2024-2025/143500-Renovation of ponds and lakes","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Chekkanur to Ramakrishnapuram Road Big Lake Retaining Work","S. Jagathrakshakan","ARAKKONAM","N/A","26-Oct-2024","999654"
"3","Normal/Others","WS/MP017/2025-2026/156775-Construction of bus-sheds or bus-stops","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Bus Stop near Bus depot connecting Arakkonam Road","S. Jagathrakshakan","ARAKKONAM","N/A","12-Feb-2026","2300000"
"4","Normal/Others","WS/MP017/2026-2027/160023-Construction of road under bridge","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Cement road and bridge near Erimannur village","S. Jagathrakshakan","ARAKKONAM","Images","21-Aug-2026","3389297"
"5","Normal/Others","WS/MP017/2025-2026/160025-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Cement Road on the way to Burial Ground near Reddivalam","S. Jagathrakshakan","ARAKKONAM","N/A","18-Jun-2025","749826"
"6","Normal/Others","WS/MP017/2026-2027/160027-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of fair price shop in perur kaveripakkam","S. Jagathrakshakan","ARAKKONAM","Images","04-Aug-2026","1650000"
"7","Normal/Others","WS/MP017/2025-2026/160030-Construction of buildings for crèches and anganwadies","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Anganwadi Building at Ward no22- MarketSchool","S. Jagathrakshakan","ARAKKONAM","Images","01-Sep-2025","1749689"
"8","Normal/Others","WS/MP017/2025-2026/160031-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Constrution of Paver block in Community health center Melvisharam","S. Jagathrakshakan","ARAKKONAM","Images","26-Jun-2025","1598588"
"9","Normal/Others","WS/MP017/2024-2025/160038-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of fair Price Shop Sriram nagar","S. Jagathrakshakan","ARAKKONAM","Images","15-Oct-2025","1199784"
"10","Normal/Others","WS/MP017/2024-2025/160039-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Cement road at Thanigaipolur,Melkandigai village","S. Jagathrakshakan","ARAKKONAM","Images","19-Mar-2025","1498638"
"11","Normal/Others","WS/MP017/2025-2026/160041-Construction of rooms and halls in school and colleges","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Head master Room at Saynapuram Government School and Paver block installation","S. Jagathrakshakan","ARAKKONAM","Images","09-Oct-2025","1297974"
"12","Normal/Others","WS/MP017/2025-2026/160042-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Cement road at MAdurputhu kandigai village on way to Burial ground","S. Jagathrakshakan","ARAKKONAM","N/A","18-Jun-2025","599919"
"13","Normal/Others","WS/MP017/2025-2026/160043-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Storm water Drain at ward no 2","S. Jagathrakshakan","ARAKKONAM","Images","14-Jun-2025","350000"
"14","Normal/Others","WS/MP017/2025-2026/160048-Construction of common work sheds/ common covered sitting area","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of Shelter","S. Jagathrakshakan","ARAKKONAM","Images","23-Oct-2025","799382"
"15","Normal/Others","WS/MP017/2025-2026/160052-Construction of toilet blocks","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Toilet","S. Jagathrakshakan","ARAKKONAM","N/A","18-Feb-2026","599528"
"16","Normal/Others","WS/MP017/2025-2026/160053-Construction of public toilets and bathrooms","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Public Toilet","S. Jagathrakshakan","ARAKKONAM","Images","07-Mar-2026","500000"
"17","Normal/Others","WS/MP017/2025-2026/160054-Construction of public toilets and bathrooms","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Public Toilet","S. Jagathrakshakan","ARAKKONAM","Images","03-Jul-2025","500000"
"18","Normal/Others","WS/MP017/2025-2026/160057-Construction of bus-sheds or bus-stops","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","construction of bus shed","S. Jagathrakshakan","ARAKKONAM","N/A","03-Jul-2025","647735"
"19","Normal/Others","WS/MP017/2025-2026/160058-Construction of boundary walls of existing public and community buildings","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Boundary walls and Paver block","S. Jagathrakshakan","ARAKKONAM","N/A","08-Oct-2025","649986"
"20","Normal/Others","WS/MP017/2025-2026/161188-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of retaining Wall","S. Jagathrakshakan","ARAKKONAM","N/A","10-Jun-2025","999907"
"21","Normal/Others","WS/MP017/2024-2025/166510-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Retainning Wall around Kosasthali River near Sangeetkuppam","S. Jagathrakshakan","ARAKKONAM","N/A","20-Feb-2025","989987"
"22","Normal/Others","WS/MP017/2025-2026/166511-Construction of buildings for community cultural activities","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of kaliyarangam at Govt High School karimbedu panchayat in pallipet union ,Tiruvallur District","S. Jagathrakshakan","ARAKKONAM","N/A","02-Apr-2025","664853"
"23","Normal/Others","WS/MP017/2024-2025/166512-Construction of community centers and community halls","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of Multi Purpose Building at draupadi Amman Koil Street","S. Jagathrakshakan","ARAKKONAM","N/A","27-Jan-2025","1199072"
"24","Normal/Others","WS/MP017/2025-2026/169198-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Construction of Fair Price Shop","S. Jagathrakshakan","ARAKKONAM","Images","13-Oct-2025","1950000"
"25","Normal/Others","WS/MP017/2025-2026/170398-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","Caonstruction of Cement road at rendadi","S. Jagathrakshakan","ARAKKONAM","Images","09-Oct-2025","499000"
"26","Normal/Others","WS/MP017/2025-2026/202449-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","cement road","S. Jagathrakshakan","ARAKKONAM","Images","18-Mar-2026","2500000"
"27","Normal/Others","WS/MP017/2026-2027/206109-Construction of community centers and community halls","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","construction of Multi Purpose Building at","S. Jagathrakshakan","ARAKKONAM","Images","14-May-2026","614970"
"28","Normal/Others","WS/MP017/2025-2026/208477-Providing drains and gutters for public drainage","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Construction of drainage at Vallalar Nagar","S. Jagathrakshakan","ARAKKONAM","N/A","08-Dec-2025","999738"
"29","Normal/Others","WS/MP017/2026-2027/235387-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","construction of cement Road in Meleri village","S. Jagathrakshakan","ARAKKONAM","Images","30-Jul-2026","399580"
