"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Tamil Nadu","Lighting of public spaces","WS/MP18176/2025-2026/232405","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","14-Aug-2026","SSR Enterprises","Payment In-Progress","669091"
"2","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP758/2025-2026/210222","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","01-Sep-2026","SIVANANTHAM","Payment In-Progress","799736"
"3","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2026-2027/227530","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","27-Aug-2026","Santhiya","Payment In-Progress","1059245"
"4","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200569","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","27-Aug-2026","KR CONSTRUCTIONS","Payment In-Progress","1099275"
"5","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP866/2025-2026/213688","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Kalanidhi Veeraswamy","CHENNAI NORTH","01-Sep-2026","DEEPA TRADERS","Payment In-Progress","2294929"
"6","Tamil Nadu","Development of playfields and sports grounds","WS/MP391/2026-2027/273229","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thiru Dayanidhi Maran","CHENNAI CENTRAL","28-Aug-2026","DB VEERRARAGHAVAN","Payment In-Progress","4909657"
"7","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP743/2025-2026/190832","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","29-Aug-2026","T S SOLAR POWER SYSTEM","Payment In-Progress","400000"
"8","Tamil Nadu","Setting up of kitchen and pantries","WS/MP751/2025-2026/210018","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","01-Sep-2026","MK AND CO","Payment In-Progress","1344961"
"9","Tamil Nadu","Providing CCTV camera system for security of public areas","WS/MP18173/2026-2027/225959","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","31-Aug-2026","MARAN SECURITY SYSTEM","Payment In-Progress","150000"
"10","Tamil Nadu","Construction of community centers and community halls","WS/MP743/2026-2027/190860","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","28-Aug-2026","KANNADHASAN V","Payment In-Progress","2321878"
"11","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP017/2026-2027/235389","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","13-Aug-2026","M VELU","Payment In-Progress","399772"
"12","Tamil Nadu","Lighting of public spaces","WS/MP746/2026-2027/232927","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","28-Aug-2026","FPLUS ENTERPRISES","Payment In-Progress","430000"
"13","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18312/2026-2027/224433","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","27-Aug-2026","Vijayaragavan J","Payment In-Progress","998687"
"14","Tamil Nadu","Construction of community centers and community halls","WS/MP18183/2024-2025/143806","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","14-Aug-2026","DHANDAYUTHAPANI K","Payment In-Progress","1348754"
"15","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2026-2027/212624","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","24-Aug-2026","MS APT CONSTRUCTIONS","Payment In-Progress","1695480"
"16","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2026-2027/181189","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","24-Aug-2026","MS NS INFRA ENTERPRISES","Payment In-Progress","1697470"
"17","Tamil Nadu","Security gates in streets/public place for safety purpose","WS/MP18183/2025-2026/245149","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","01-Sep-2026","GM Constructions and Infra P","Payment In-Progress","1131858"
"18","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18179/2025-2026/261581","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","18-Aug-2026","Umamaheshwari J","Payment In-Progress","519506"
"19","Tamil Nadu","Construction of community centers and community halls","WS/MP18179/2025-2026/271514","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","18-Aug-2026","MANNARMANNAN P","Payment In-Progress","522642"
"20","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18179/2025-2026/261584","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","01-Sep-2026","MANNARMANNAN P","Payment In-Progress","394795"
"21","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18179/2025-2026/261583","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","01-Sep-2026","MANNARMANNAN P","Payment In-Progress","598286"
"22","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP394/2025-2026/197305","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","31-Aug-2026","Jebadhas V","Payment In-Progress","2987701"
"23","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18180/2026-2027/231211","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","ARUN NEHRU","PERAMBALUR","01-Sep-2026","VS INFRA","Payment In-Progress","1908144"
"24","Tamil Nadu","Construction of community centers and community halls","WS/MP017/2025-2026/257980","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","27-Aug-2026","Raveendhra G","Payment In-Progress","1599822"
"25","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP756/2026-2027/170996","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","02-Sep-2026","RAVICHANDRAN A","Payment In-Progress","896198"
"26","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP756/2026-2027/242926","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","01-Sep-2026","SUBRAMANIYAN S","Payment In-Progress","898801"
"27","Tamil Nadu","Lighting of public spaces","WS/MP18265/2026-2027/171228","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","31-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","449130"
"28","Tamil Nadu","Lighting of public spaces","WS/MP18179/2026-2027/245271","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","SUDHA R","MAYILADUTHURAI","24-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","900000"
"29","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2025-2026/213160","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","27-Aug-2026","BRINDHA","Payment In-Progress","781543"
"30","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2025-2026/237104","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","29-Aug-2026","SUBBIAH S","Payment In-Progress","899900"
"31","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206176","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","28-Aug-2026","M P R ASSOCIATES","Payment In-Progress","509709"
"32","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18174/2026-2027/270411","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","24-Aug-2026","M Vivekanandhan","Payment In-Progress","599972"
"33","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP508/2025-2026/189224","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","30-Aug-2026","TMT KANIMOZHI","Payment In-Progress","500000"
"34","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280358","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2026","UMA ENTERPRISES","Payment In-Progress","375000"
"35","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280289","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2026","UMA ENTERPRISES","Payment In-Progress","312500"
"36","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280240","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2026","Sathya Enterprises","Payment In-Progress","312500"
"37","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280263","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2026","Sathya Enterprises","Payment In-Progress","625000"
"38","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/306566","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2026","Sathya Enterprises","Payment In-Progress","312500"
"39","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280253","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2026","Sathya Enterprises","Payment In-Progress","312500"
"40","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280376","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","31-Aug-2026","UMA ENTERPRISES","Payment In-Progress","500000"
"41","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280375","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","31-Aug-2026","Sathya Enterprises","Payment In-Progress","625000"
"42","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280287","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","31-Aug-2026","UMA ENTERPRISES","Payment In-Progress","312500"
"43","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280336","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","31-Aug-2026","UMA ENTERPRISES","Payment In-Progress","312500"
"44","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280326","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","31-Aug-2026","UMA ENTERPRISES","Payment In-Progress","375000"
"45","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/280288","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","31-Aug-2026","UMA ENTERPRISES","Payment In-Progress","312500"
"46","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP017/2026-2027/306567","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2026","Sathya Enterprises","Payment In-Progress","312500"
"47","Tamil Nadu","Lighting of public spaces","WS/MP18186/2026-2027/222910","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","01-Sep-2026","SELCO SOLAR LIGHT PRIVATE LTD","Payment In-Progress","300000"
"48","Tamil Nadu","Construction of community centers and community halls","WS/MP18186/2026-2027/299515","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","25-Aug-2026","L G Arasu","Payment In-Progress","291500"
"49","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18179/2026-2027/245281","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","SUDHA R","MAYILADUTHURAI","13-Aug-2026","Jothiprakash V","Payment In-Progress","595689"
"50","Tamil Nadu","Lighting of public spaces","WS/MP751/2025-2026/249287","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","27-Aug-2026","N NALLATHAMBI","Payment In-Progress","399890"
"51","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP751/2025-2026/235293","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","25-Aug-2026","A N KANNAN","Payment In-Progress","698676"
"52","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18176/2025-2026/239373","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","27-Aug-2026","RAM CONSTRUCTION","Payment In-Progress","699124"
"53","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18267/2026-2027/270662","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","28-Aug-2026","Shyn Construction Hosur","Payment In-Progress","1758780"
"54","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2025-2026/213178","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","01-Sep-2026","SHRI LALITHAMBIGAI CONSTRUCTION","Payment In-Progress","950000"
"55","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2025-2026/213188","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","31-Aug-2026","K THIAGARAJAN","Payment In-Progress","569826"
"56","Tamil Nadu","Construction of additional rooms and halls in the existing public and community building","WS/MP18176/2025-2026/199095","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","18-Aug-2026","ANBARASU","Payment In-Progress","1300000"
"57","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/161794","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","24-Jun-2026","KPK construction","Payment In-Progress","1000000"
"58","Tamil Nadu","Construction of water tanks","WS/MP458/2026-2027/150074","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","29-May-2026","Sree and Co","Payment In-Progress","3000000"
"59","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/206433","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","28-Aug-2026","S MEYYAPPAN","Payment In-Progress","597193"
"60","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18174/2026-2027/224334","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","27-Aug-2026","Shri Murugan Associates","Payment In-Progress","799891"
"61","Tamil Nadu","Construction of community centers and community halls","WS/MP18181/2026-2027/305132","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","27-Aug-2026","JAYALAKSHMI BUILDERS","Payment In-Progress","2000000"
"62","Tamil Nadu","Lighting of public spaces","WS/MP457/2025-2026/258859","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","01-Sep-2026","VDH ENGINEERING SERVICES","Payment In-Progress","247148"
"63","Tamil Nadu","Lighting of public spaces","WS/MP457/2025-2026/258860","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","01-Sep-2026","VDH ENGINEERING SERVICES","Payment In-Progress","247138"
"64","Tamil Nadu","Lighting of public spaces","WS/MP457/2025-2026/258861","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","31-Aug-2026","VDH ENGINEERING SERVICES","Payment In-Progress","249751"
"65","Tamil Nadu","Lighting of public spaces","WS/MP457/2025-2026/258863","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","31-Aug-2026","VDH ENGINEERING SERVICES","Payment In-Progress","249751"
"66","Tamil Nadu","Lighting of public spaces","WS/MP457/2025-2026/258862","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","31-Aug-2026","VDH ENGINEERING SERVICES","Payment In-Progress","249751"
"67","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2026-2027/211713","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","24-Jun-2026","M Saravanan","Payment In-Progress","1720039"
"68","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200562","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","02-Sep-2026","JMD Promoters","Payment In-Progress","887884"
"69","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2026-2027/211708","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","13-Jul-2026","ELLAPPAN CONTRACTOR","Payment In-Progress","1200000"
"70","Tamil Nadu","Lighting of public spaces","WS/MP18184/2026-2027/169909","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","22-Jun-2026","SUN POWER TECNOLOGY AND ELECTICALS","Payment In-Progress","349300"
