"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP394/2025-2026/136038-Construction of community centers and community halls","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","ooratchi vilagam pal nokku kattidam","17-Aug-2024","03-Mar-2026","1000000","Physical Inspection"
"2","Normal/Others","WS/MP394/2025-2026/136039-Construction of community centers and community halls","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","ilanjirai pds shop","17-Aug-2024","03-Sep-2025","1000000","Work Completed"
"3","Normal/Others","WS/MP394/2025-2026/136043-Construction of community centers and community halls","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","kottaram peruratchi vilagathil samudhaya nala koodam","17-Aug-2024","13-Jan-2026","2000000","Physical Inspection"
"4","Normal/Others","WS/MP394/2024-2025/136045-Construction of community centers and community halls","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","peruvilai padipagam arugil samuga nalakoodam amithal","17-Aug-2024","24-Sep-2024","1500000","Sanction"
"5","Normal/Others","WS/MP18173/2024-2025/137467-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor at ADC Arasur Panchayat","05-Sep-2024","21-Oct-2024","499900","Physical Inspection"
"6","Normal/Others","WS/MP18173/2025-2026/137910-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor at Arasoor Panchayat","05-Sep-2024","12-Jun-2025","598966","Physical Inspection"
"7","Normal/Others","WS/MP18173/2024-2025/137912-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor near Kundru at Vinnavadi Panchayat","05-Sep-2024","26-Mar-2025","599943","Physical Inspection"
"8","Normal/Others","WS/MP18173/2024-2025/137915-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Drama Stage in Agrapalayam Panchayat","05-Sep-2024","02-Jan-2025","1000000","Vendor Identification"
"9","Normal/Others","WS/MP18173/2024-2025/137925-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Construction of Fair Price Shop at Appampattu village in Konai Panchayat","05-Sep-2024","20-Nov-2024","1352339","Physical Inspection"
"10","Normal/Others","WS/MP18173/2024-2025/137929-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Construction of Fair Price Shop at Melarangunam  Panchayat","05-Sep-2024","21-Oct-2024","1358916","Physical Inspection"
